id,query
114,I need a fast American lunch without wheat
115,What's a speedy gluten-free version of classic American lunch?
116,Looking for quick American lunch that's celiac-safe
117,Can you give me a fast gluten-free American lunch recipe?
118,What American lunch can I make quickly without gluten?
119,Need a rapid gluten-free American lunch for work
120,Indian snacks that fit a keto diet?
121,What are some low-carb Indian appetizers?
122,I want Indian snack recipes without the carbs
123,Looking for ketogenic Indian finger foods
124,Can you suggest Indian snacks for someone on keto?
125,What Indian snacks work for low-carb lifestyle?
126,Need keto-friendly Indian snack ideas
127,Quick Mexican dessert with minimal salt?
128,I need a fast Mexican sweet that's low in sodium
129,What's a speedy Mexican dessert that's heart-healthy?
130,Looking for quick Mexican sweets without too much salt
131,Can you give me a fast low-sodium Mexican dessert?
132,What Mexican dessert can I make quickly on low-salt diet?
133,Need a rapid Mexican sweet treat that's sodium-conscious
134,Super fast vegetarian Italian dinner ideas?
135,I need a quick Italian dinner without meat
136,What's the fastest vegetarian Italian meal I can make?
137,Looking for speedy plant-based Italian dinner
138,Can you give me a 5-minute vegetarian Italian dinner?
139,What Italian dinner can I make quickly without meat?
140,Need urgent vegetarian Italian dinner recipe
